dataset,model,log_likelihood,AIC,BIC,brier_score,avg_hits_at_6,lift_vs_uniform_pct
1133_draws,G0_uniform,-16158.0338676421,32316.0677352842,32316.0677352842,0.0622222222222222,0.4283765347885402,0.0
2855_draws,G0_uniform,-45299.80845566783,90599.61691133566,90599.61691133566,0.062222222222222234,0.3844282238442822,0.0
1133_draws,G2_dirichlet,-16199.064005551129,32578.128011102253,33396.85399460178,0.0622985015034008,0.3929058663028649,-8.280254777070063
2855_draws,G2_dirichlet,-45364.708114903544,90909.41622980709,91820.92190156055,0.06226569976012604,0.3795620437956204,-1.2658227848101222
1133_draws,G3_markov_lag1,-16236.571821253026,32833.14364250605,34470.5956095051,0.0623888602256361,0.3765347885402456,-12.101910828025474
2855_draws,G3_markov_lag1,-45417.02357198751,91194.04714397503,93017.05848748193,0.062301606275615394,0.3907542579075426,1.6455696202531733
1133_draws,G4_structural,-16163.359755273208,32354.719510546416,32482.07688575745,0.0622321267870192,0.4229195088676671,-1.2738853503184822
2855_draws,G4_structural,-45302.64740413474,90633.29480826948,90775.08457943113,0.06222411458804045,0.41021897810218977,6.708860759493684
1133_draws,G5_regime_split,-16342.470817790254,33224.94163558051,35681.11958607908,0.0625429876961864,0.373806275579809,-12.73885350318472
2855_draws,G5_regime_split,-45525.89714729059,91591.79429458118,94326.31130984155,0.06236473582415902,0.3722627737226277,-3.164556962025311
1133_draws,G6_ensemble,-16189.60163668477,32951.20327336954,35552.93250982358,0.0622820685279899,0.3833560709413369,-10.509554140127396
2855_draws,G6_ensemble,-45348.33895037715,91268.6779007543,94165.24036877083,0.06225500615322033,0.37518248175182484,-2.405063291139231
